╠╓а╬,╠Б╟ё,╪Ж╠ч╬ха╓х╜аЖ╪Ж
╢одл,2018-01-01,66.257197790
╢одл,2018-02-01,52.380628590
╢одл,2018-03-01,47.687620170
╢одл,2018-04-01,48.567632890
╢одл,2018-05-01,44.421099900
╢одл,2018-06-01,41.731091840
╢одл,2018-07-01,36.265398090
╢одл,2018-08-01,46.919056960
╢одл,2018-09-01,49.693935520
╢одл,2018-10-01,56.570000560
╢одл,2018-11-01,59.527918810
╢одл,2018-12-01,69.123480430
╢одл,2019-01-01,72.457983290
╢одл,2019-02-01,65.481658360
╢одл,2019-03-01,55.474454190
╢одл,2019-04-01,52.353365910
╢одл,2019-05-01,54.251699680
╢одл,2019-06-01,60.777757570
╢одл,2019-07-01,60.040481010
╢одл,2019-08-01,48.037207840
╢одл,2019-09-01,34.506516690
╢одл,2019-10-01,25.114312790
╢одл,2019-11-01,26.650430440
╢одл,2019-12-01,37.259581370
╢одл,2020-01-01,47.783171440
╢одл,2020-02-01,60.253958080
╢одл,2020-03-01,60.750267400
╢одл,2020-04-01,67.997105700
╢одл,2020-05-01,68.402195490
╢одл,2020-06-01,62.489992660
╢одл,2020-07-01,56.981708510
╢одл,2020-08-01,49.707124250
╢одл,2020-09-01,39.974281700
╢одл,2020-10-01,37.746491250
╢одл,2020-11-01,35.008947420
╢одл,2020-12-01,29.329210670
╢одл,2021-01-01,25.780605300
╢одл,2021-02-01,17.268552660
╢одл,2021-03-01,13.157651030
╢одл,2021-04-01,21.457222600
╢одл,2021-05-01,18.409724540
╢одл,2021-06-01,12.082771860
╢одл,2021-07-01,11.296983450
╢одл,2021-08-01,9.066556989
╢одл,2021-09-01,9.075381550
╢одл,2021-10-01,8.793292419
╢одл,2021-11-01,7.901674428
╢одл,2021-12-01,10.156401710
╢одл,2022-01-01,8.811239170
╢одл,2022-02-01,7.401309597
╢одл,2022-03-01,6.242334683
╢одл,2022-04-01,6.338373756
╢одл,2022-05-01,8.119096602
╢одл,2022-06-01,7.586574711
╢одл,2022-07-01,9.819111539
╢одл,2022-08-01,16.418536980
╢одл,2022-09-01,16.367081460
╢одл,2022-10-01,16.637095430
╢одл,2022-11-01,17.815237460
╢одл,2022-12-01,11.870350840
╢одл,2023-01-01,9.528951370
╢одл,2023-02-01,9.590902278
╢одл,2023-03-01,13.994191310
╢одл,2023-04-01,19.878338460
╢одл,2023-05-01,18.535349330
╢одл,2023-06-01,25.895510510
╢одл,2023-07-01,29.550878410
╢одл,2023-08-01,27.998479360
╢одл,2023-09-01,30.969617210
╢одл,2023-10-01,31.979493370
╢одл,2023-11-01,41.741816720
╢одл,2023-12-01,47.397807120
╢одл,2024-01-01,48.138130480
╢одл,2024-02-01,52.142031820
╢одл,2024-03-01,51.213426260
╢одл,2024-04-01,43.995989310
╢одл,2024-05-01,36.396007060
